2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': -4.751603213149109, 'omega_L': 0.4420996078328021, 'omega_m': 1.2753776180232912}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': -0.8879659764036711, 'omega_L': 1.172177218868442, 'omega_m': 1.0805208718964292}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': 0.5976261028912857, 'omega_L': 1.2539222406223485, 'omega_m': 1.4755384876823672}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:07:12 - cpnest.sampler.Sampler                : Sampler process 19754: saved 1024 prior samples in prior_samples_19754.dat
2025-05-25, 16:07:15 - cpnest.sampler.Sampler                : Sampler 19754 -- ACL(CurlyM)  = 19.262671553233965
2025-05-25, 16:07:15 - cpnest.sampler.Sampler                : Sampler 19754 -- ACL(omega_L)  = 18.655286762752173
2025-05-25, 16:07:15 - cpnest.sampler.Sampler                : Sampler 19754 -- ACL(omega_m)  = 20.540157386773604
